line_sign_name,line_number,company_name,region_id
1742-10,542,SAMBAIBA,0
4036-10,35329,VIACAO METROPOLE,0
2009-10,33666,TRANSUNIAO,0
2678-10,383,VIACAO METROPOLE PAULISTA S.A.,3
9011-21,1768,Norte Buss S.A.,0
1759-10,553,SAMBAIBA,0
297A-10,2133,SAMBAIBA,0
6450-10,32827,CAMPO BELO,0
3785-10,1063,PESSEGO TRANSPORTES LTDA,4
6836-10,32781,VIACAO CAMPO BELO LTDA.,7
2719-10,33700,ALLIBUS TRANSPORTES LTDA,4
271M-10,33452,SAMBAIBA,0
1702-10,846,SPENCER TRANSPORTE RODOVIARIO LTDA,2
573H-10,34398,MOVEBUSS,0
575A-10,1638,TRANSUNIAO,0
5290-10,33365,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
172R-10,859,NORTE BUSS TRANSPORTES S.A.,2
273D-10,32990,VIACAO METROPOLE,0
2731-10,33714,UPBUS S.A.,0
1720-10,33631,NORTE BUSS TRANSPORTES S.A.,2
978A-10,1369,GATO PRETO,0
745M-10,33550,AUTO VIACAO TRANSCAP LTDA,8
3031-10,967,PESSEGO TRANSPORTES LTDA,4
6050-10,1225,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
2006-10,895,TRANSUNIAO,0
746V-10,33560,AUTO VIACAO TRANSCAP LTDA,8
719R-10,469,TRANSPPASS,0
8594-10,33200,VIACAO SANTA BRIGIDA LTDA.,1
1026-10,35074,SPENCER TRANSPORTE RODOVIARIO LTDA,1
5154-10,353,GATUSA,0
5614-10,1515,MOBIBRASIL TRANSPORTE SAO PAULO LTDA,6
2161-10,33462,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
4312-10,34940,VIACAO METROPOLE,0
5702-10,33905,A2 Transportes,0
6803-10,32797,VIACAO CAMPO BELO LTDA.,7
677A-10,1239,VIACAO METROPOLE,0
2721-10,33702,Allibus,0
875A-10,33377,MOBIBRASIL,0
1178-10,132,VIACAO METROPOLE PAULISTA S.A.,3
967A-10,568,SAMBAIBA,0
6072-10,34356,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
607A-10,2139,A2 TRANSPORTES LTDA,6
6824-10,32791,VIACAO CAMPO BELO LTDA.,7
6817-10,27,VIACAO CAMPO BELO LTDA.,7
9050-10,34856,GATO PRETO,0
3721-41,34461,PESSEGO TRANSPORTES LTDA,4
2772-10,398,VIACAO METROPOLE PAULISTA S.A.,3
971A-10,33426,SAMBAIBA TRANSPORTES URBANOS LTDA.,2
2728-10,943,Allibus,0
342M-10,33515,AMBIENTAL S.A.,0
263J-10,32987,VIACAO METROPOLE,0
2009-10,898,TRANSUNIAO,0
6076-10,33933,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
6092-10,33945,TRANSWOLFF TRANSPORTES E TURISMO LTDA,6
8199-10,33575,Norte Buss S.A.,0
3064-10,33748,TRANSUNIAO,0
